MilestoneID,ParticipantID,MilestoneTitle,MilestoneDate
1443,1110,Retail Assistant,2022-09-10
1444,1110,Middle School Diploma,2022-12-08
1445,1111,Studio Assistant,2024-08-08
1446,1112,Junior QA Tester,2029-01-06
1447,1113,Published Project,2023-03-27
1448,1114,Published Project,2022-08-18
1449,1115,High School Diploma,2026-01-30
1450,1115,BS in Computer Science,2027-07-24
1451,1115,Middle School Diploma,2025-01-30
1452,1116,Published Project,2023-11-11
1453,1117,Systems Analyst,2030-10-26
1454,1117,Data Analytics Certificate,2027-10-26
1455,1118,Middle School Diploma,2024-01-19
1456,1119,Web Development Certificate,2021-11-29
1457,1120,Data Analytics Certificate,2030-11-12
1458,1121,Internship,2023-11-27
1459,1122,Studio Assistant,2031-09-05
1460,1123,AS in Computer Science,2030-06-18
1461,1124,MS in Information Systems,2033-07-21
1462,1125,Lab Assistant,2027-07-06
1463,1125,High School Diploma,2027-06-06
1464,1126,Competition Award,2026-03-26
1465,1133,High School Diploma,2023-04-17
1466,1141,Internship,2024-05-25
1467,1144,BS in Data Analytics,2025-10-08
1468,1145,Customer Support Rep,2028-01-23
1469,1145,Published Project,2023-06-10
1470,1152,Published Project,2025-03-04
1471,1154,Middle School Diploma,2025-03-13
1472,1159,High School Diploma,2030-04-07
1473,1160,Internship,2025-12-13
1474,1162,BS in Data Analytics,2032-09-26
1475,1166,High School Diploma,2027-01-02
1476,1169,Internship,2026-09-26
1477,1170,Published Project,2027-03-11
1478,1173,Mentorship Program,2026-01-19
1479,1176,Competition Award,2026-06-06
1480,1176,MBA,2028-02-16
